iter	Passed	Remaining
440	1245	1578
441	1246	1574
442	1247	1569
443	1249	1564
444	1250	1559
445	1251	1554
446	1252	1549
447	1253	1544
448	1254	1539
449	1255	1534
450	1256	1529
451	1259	1526
452	1260	1522
453	1261	1517
454	1262	1512
455	1263	1507
456	1264	1502
457	1265	1497
458	1266	1493
459	1267	1488
460	1268	1483
461	1269	1478
462	1270	1474
463	1272	1470
464	1274	1466
465	1275	1461
466	1276	1456
467	1277	1451
468	1278	1447
469	1279	1442
470	1280	1438
471	1281	1433
472	1282	1428
473	1283	1424
474	1284	1419
475	1285	1414
476	1287	1412
477	1289	1407
478	1290	1403
479	1291	1399
480	1292	1394
481	1293	1390
482	1294	1385
483	1295	1381
484	1297	1377
485	1298	1373
486	1300	1370
487	1302	1366
488	1303	1362
489	1304	1358
490	1306	1354
491	1307	1350
492	1308	1345
493	1309	1341
494	1310	1337
495	1311	1332
496	1312	1328
497	1313	1324
498	1316	1321
499	1317	1317
500	1318	1313
501	1319	1308
502	1320	1304
503	1321	1300
504	1322	1296
505	1323	1291
506	1324	1287
507	1325	1283
508	1326	1279
509	1327	1275
510	1328	1271
511	1331	1268
512	1332	1264
513	1333	1260
514	1334	1256
515	1335	1252
516	1335	1248
517	1336	1243
518	1337	1239
519	1338	1235
520	1339	1231
521	1340	1227
522	1341	1223
523	1342	1219
524	1345	1217
525	1346	1213
526	1347	1209
527	1348	1205
528	1349	1201
529	1350	1197
530	1351	1193
531	1352	1189
532	1353	1185
533	1354	1181
534	1355	1178
535	1356	1174
536	1357	1170
537	1360	1168
538	1361	1164
539	1362	1160
540	1363	1156
541	1364	1153
542	1365	1149
543	1366	1145
544	1367	1141
545	1368	1138
546	1369	1134
547	1370	1130
548	1371	1126
549	1374	1124
550	1375	1121
551	1376	1117
552	1377	1113
553	1378	1110
554	1379	1106
555	1380	1102
556	1381	1098
557	1382	1095
558	1383	1091
559	1387	1090
560	1389	1087
561	1390	1083
562	1391	1080
563	1393	1076
564	1394	1073
565	1395	1070
566	1396	1066
567	1397	1063
568	1399	1060
569	1400	1056
570	1401	1053
571	1402	1049
572	1403	1046
573	1404	1042
574	1405	1039
575	1406	1035
576	1407	1032
577	1408	1028
578	1409	1025
579	1411	1021
580	1412	1018
581	1414	1016
582	1416	1012
583	1417	1009
584	1417	1005
585	1418	1002
586	1419	998
587	1420	995
588	1421	992
589	1422	988
590	1423	985
591	1424	981
592	1425	978
593	1426	974
594	1428	972
595	1429	969
596	1430	965
597	1431	962
598	1432	959
599	1433	955
600	1434	952
601	1435	949
602	1436	945
603	1437	942
604	1438	939
605	1439	935
606	1440	932
607	1442	929
608	1446	928
609	1447	925
610	1448	922
611	1449	919
612	1450	916
613	1452	912
614	1453	909
615	1454	906
616	1456	903
617	1457	901
618	1459	898
619	1460	894
620	1461	891
621	1462	888
622	1462	885
623	1463	882
624	1464	878
625	1465	875
626	1466	872
627	1467	869
628	1468	866
629	1471	864
630	1472	861
631	1473	858
632	1475	855
633	1476	852
634	1477	849
635	1478	845
636	1479	842
637	1480	839
638	1481	836
639	1482	833
640	1485	831
641	1486	828
642	1487	825
643	1488	822
644	1489	819
645	1490	816
646	1491	813
647	1492	810
648	1493	807
649	1494	804
650	1495	801
651	1496	798
652	1497	795
653	1499	793
654	1500	790
655	1501	787
656	1502	784
657	1503	781
658	1504	778
659	1505	775
660	1506	772
661	1507	769
662	1508	766
663	1509	763
664	1510	761
665	1512	758
666	1514	756
667	1515	753
668	1517	750
669	1518	747
670	1519	744
671	1520	742
672	1521	739
673	1522	736
674	1523	733
675	1524	730
676	1525	728
677	1528	725
678	1529	722
679	1530	720
680	1530	717
681	1531	714
682	1532	711
683	1533	708
684	1534	705
685	1535	703
686	1536	700
687	1537	697
688	1538	694
689	1540	692
690	1542	689
691	1543	686
692	1544	684
693	1545	681
694	1546	678
695	1547	675
696	1548	672
697	1549	670
698	1550	667
699	1551	664
700	1552	662
701	1553	659
702	1555	657
703	1556	654
704	1557	651
705	1558	649
706	1559	646
707	1560	643
708	1561	640
709	1562	638
710	1563	635
711	1564	632
712	1565	630
713	1566	627
714	1567	624
715	1570	622
716	1571	620
717	1573	617
718	1574	615
719	1575	612
720	1576	609
